1 players
Best Games,Avg Time

Recommended Games,Avg Time
Charterstone,60 mins
Ex Libris,45 mins
Flash Point: Fire Rescue,45 mins
Gloomhaven,120 mins
Grimslingers,52 mins
Lunarchitects,52 mins
Massive Darkness,135 mins
Pandemic,45 mins
Scythe,102 mins

2 players
Best Games,Avg Time
7 Wonders Duel,30 mins
Control,10 mins
Ex Libris,45 mins
Hive,20 mins
Memoir '44,45 mins
Race for the Galaxy,45 mins
Rum & Bones,60 mins
Star Wars: Rebellion,210 mins

Recommended Games,Avg Time
Above and Below,90 mins
Century: Spice Road,37 mins
Charterstone,60 mins
City of Iron,120 mins
Clash of Steel,12 mins
Concordia,100 mins
Dice Forge,40 mins
Dominion Big Box (English),30 mins
Double Bananagrams,0 mins
The End is Nigh,17 mins
Euphoria,60 mins
Flash Point: Fire Rescue,45 mins
Gloomhaven,120 mins
Grimslingers,52 mins
Istanbul,50 mins
Length x Wit,60 mins
Lunarchitects,52 mins
Massive Darkness,135 mins
Mechs vs. Minions,75 mins
Pandemic,45 mins
Pandemic Legacy: Season 1,60 mins
Pandemic Legacy: Season 2,60 mins
Puerto Rico,120 mins
Ra,52 mins
Scythe,102 mins
Terra Mystica,105 mins
Through the Ages,210 mins
Ticket to Ride,45 mins
Tzolk'in,90 mins

3 players
Best Games,Avg Time
Above and Below,90 mins
Century: Spice Road,37 mins
Gloomhaven,120 mins
Ra,52 mins
Through the Ages,210 mins

Recommended Games,Avg Time
7 Wonders,30 mins
Betrayal at Baldur's Gate,60 mins
Bohnanza,45 mins
Catan,90 mins
Charterstone,60 mins
City of Iron,120 mins
Concordia,100 mins
Control,10 mins
Dead Man's Chest,25 mins
Dead of Winter,127 mins
Dice Forge,40 mins
Dominion Big Box (English),30 mins
Double Bananagrams,0 mins
The End is Nigh,17 mins
Entropy,15 mins
Euphoria,60 mins
Ex Libris,45 mins
Exploding Kittens,15 mins
Exploding Kittens,15 mins
Flash Point: Fire Rescue,45 mins
Grimslingers,52 mins
Illuminati,120 mins
Istanbul,50 mins
King of New York,40 mins
King of Tokyo,30 mins
Length x Wit,60 mins
Lunarchitects,52 mins
Massive Darkness,135 mins
Mechs vs. Minions,75 mins
Memoir '44,45 mins
Mysterium,42 mins
Pandemic,45 mins
Pandemic Legacy: Season 1,60 mins
Pandemic Legacy: Season 2,60 mins
Power Grid,120 mins
Puerto Rico,120 mins
Race for the Galaxy,45 mins
Scythe,102 mins
Space Alert,30 mins
Strain,60 mins
Terra Mystica,105 mins
Ticket to Ride,45 mins
Tzolk'in,90 mins

4 players
Best Games,Avg Time
7 Wonders,30 mins
Catan,90 mins
Century: Spice Road,37 mins
City of Iron,120 mins
Concordia,100 mins
Dead of Winter,127 mins
Dice Forge,40 mins
Euphoria,60 mins
Exploding Kittens,15 mins
Exploding Kittens,15 mins
Flash Point: Fire Rescue,45 mins
Illuminati,120 mins
Istanbul,50 mins
King of New York,40 mins
King of Tokyo,30 mins
Massive Darkness,135 mins
Mechs vs. Minions,75 mins
Pandemic,45 mins
Pandemic Legacy: Season 1,60 mins
Pandemic Legacy: Season 2,60 mins
Power Grid,120 mins
Puerto Rico,120 mins
Ra,52 mins
Race for the Galaxy,45 mins
Scythe,102 mins
Space Alert,30 mins
Terra Mystica,105 mins
Ticket to Ride,45 mins
Tzolk'in,90 mins

Recommended Games,Avg Time
Above and Below,90 mins
Betrayal at Baldur's Gate,60 mins
Bohnanza,45 mins
Cards Against Humanity,30 mins
Charterstone,60 mins
Codenames: Pictures,15 mins
Control,10 mins
Cosmic Encounter,90 mins
Dead Man's Chest,25 mins
Dixit,30 mins
Dominion Big Box (English),30 mins
Double Bananagrams,0 mins
The End is Nigh,17 mins
Entropy,15 mins
Ex Libris,45 mins
Gloomhaven,120 mins
Grimslingers,52 mins
Length x Wit,60 mins
Lunarchitects,52 mins
Memoir '44,45 mins
Mysterium,42 mins
Rum & Bones,60 mins
Star Wars: Rebellion,210 mins
Strain,60 mins
Through the Ages,210 mins

5 players
Best Games,Avg Time
7 Wonders,30 mins
Bohnanza,45 mins
Cosmic Encounter,90 mins
Dixit,30 mins
Euphoria,60 mins
Exploding Kittens,15 mins
Exploding Kittens,15 mins
King of Tokyo,30 mins
Mysterium,42 mins
Power Grid,120 mins
Space Alert,30 mins

Recommended Games,Avg Time
Are You the Traitor?,30 mins
Betrayal at Baldur's Gate,60 mins
Cards Against Humanity,30 mins
Century: Spice Road,37 mins
Charterstone,60 mins
Codenames: Pictures,15 mins
Concordia,100 mins
Dead Man's Chest,25 mins
Dead of Winter,127 mins
Double Bananagrams,0 mins
The End is Nigh,17 mins
Entropy,15 mins
Flash Point: Fire Rescue,45 mins
Grimslingers,52 mins
Illuminati,120 mins
Istanbul,50 mins
King of New York,40 mins
Length x Wit,60 mins
Lunarchitects,52 mins
Puerto Rico,120 mins
Ra,52 mins
The Resistance: Avalon,30 mins
Scythe,102 mins
Strain,60 mins
Terra Mystica,105 mins
Ticket to Ride,45 mins

6 players
Best Games,Avg Time
Are You the Traitor?,30 mins
Cards Against Humanity,30 mins
Charterstone,60 mins
Codenames: Pictures,15 mins
Dixit,30 mins
Mysterium,42 mins

Recommended Games,Avg Time
7 Wonders,30 mins
Betrayal at Baldur's Gate,60 mins
Bohnanza,45 mins
Cosmic Encounter,90 mins
Dead Man's Chest,25 mins
Double Bananagrams,0 mins
The End is Nigh,17 mins
Entropy,15 mins
Euphoria,60 mins
Flash Point: Fire Rescue,45 mins
Grimslingers,52 mins
Illuminati,120 mins
King of New York,40 mins
King of Tokyo,30 mins
Length x Wit,60 mins
Power Grid,120 mins
The Resistance: Avalon,30 mins
Rum & Bones,60 mins
Secret Hitler,45 mins
Strain,60 mins

7 players
Best Games,Avg Time
Cards Against Humanity,30 mins
The Resistance: Avalon,30 mins

Recommended Games,Avg Time
7 Wonders,30 mins
Are You the Traitor?,30 mins
Bohnanza,45 mins
Codenames: Pictures,15 mins
Dead Man's Chest,25 mins
Dixit,30 mins
Double Bananagrams,0 mins
Mysterium,42 mins
Secret Hitler,45 mins
Strain,60 mins

8 players
Best Games,Avg Time
Are You the Traitor?,30 mins
Cards Against Humanity,30 mins
The Resistance: Avalon,30 mins
Secret Hitler,45 mins

Recommended Games,Avg Time
Codenames: Pictures,15 mins
Dead Man's Chest,25 mins
Double Bananagrams,0 mins
Ultimate Werewolf,60 mins

Large Party Games (9+),Avg Time
Cards Against Humanity,30 mins
The Resistance: Avalon,30 mins
Double Bananagrams,0 mins
Secret Hitler,45 mins
Ultimate Werewolf,60 mins
Are You the Traitor?,30 mins
